# Delta Green TRPG 术语表 — THE MILLENNIUM
# 格式: 中文译名<TAB>英文原名
# 以 # 开头的行为注释，会被忽略
#
# ===== 组织与机构 =====
绿色三角洲	Delta Green
A 班	A-Cell
美国公民抵抗隐蔽敌人组织	Americans Against Covert Enemies
阿可德米训练中心	Academi Training Center, Inc.
阿可德米	Academi, Inc.
安瑟勒	Ancile, Inc.
蓝蝇小组	BLUE FLY team
蓝组	BLUE TEAM
新潜能兄弟会	Brotherhood of New Potential
兄弟之环	Brothers' Circle
黑室	the Black Chamber
布里奇韦尔出版社	Bridewell
布雷肯里奇公司	Breckenridge Corporation
内在生命教会	Church of Interlife
天启俱乐部	Club Apocalypse
调查局	the Bureau of Investigation
征服者蠕虫音乐	Conqueror Worm Music
#
# ===== 人物 =====
阿卜杜勒·阿尔哈兹莱德	Abd al-Hazred
阿卜杜拉·埃弗斯	Abdullah Evers
阿伯纳·雷恩伍德	Abner Ringwood
亚伯拉罕·曼宁	Abraham Mannen
阿道夫·雷帕斯	Adolph Lepus
阿尔伯特·约里奥	Albert Yrjo
亚力克西斯·拉杜	Alexis Ladeau
阿尔丰斯·杜马斯	Alphonse Dumars
阿尔文·布莱特	Alvin Bright
阿曼达·查默斯	Amanda Chalmers
安东·格里斯特	Anton Greist
安东尼奥·麦贝雅	Antonio Malbayam
阿普丽·普莱森特·克朗普顿	April Pleasant Crumpton
亚瑟·布鲁克·温特斯-哈尔	Arthur Brooke Winters-Hall
亚瑟·布鲁恩	Arthur Brunne
亚瑟·J·马克雷迪	Arthur J. Macready
亚瑟·杰尔敏	Arthur Jermyn
阿瑟·莫瑞塔姆	Arthur Moritaum
亚瑟·图纳	Arthur Turner
阿尔文·蒂普勒	Arvin Tipler
奥古斯塔·沃伦	Augusta Warren
艾弗里·米切尔	Avery Mitchell
博比·雷·因曼	Bobby Ray Inman
C·菲利普斯·法波	C. Philippus Faber
查尔斯·巴洛夫	Charles Balfour
查尔斯·博斯蒂克	Charles Bostick
吴俊德	Chun-te Wu
克莱斯·范德赫尔	Claes van der Heyl
克劳德	Claude
#
# ===== 神话存在与种族 =====
旧日支配者	Great Old One
阿撒托斯	Azathoth
拜亚提斯，蛇须的	Byatis, serpent-bearded
伊格之子	Children of Yig
无首母	Chinnamasta
阿兹库斯部落	Anzique tribe
星之彩	Colour Out of Space
火灵	ifrit
库图克瓦	Qu-Tugkwa
#
# ===== 地点 =====
安重乡	Anchongxiang
南极洲甘布尔泽夫地区计划	the Antarctica's Gamburtsev Province Project
黑鳕岛	Black Cod Island
阿瓜瓦德	Agua Verde
拉答哈沙漠	the al-Dahna desert
阿史拉	al-Shisr
卡利斯特	Callisto
X 营	Camp X
海牙岬	Cap de la Hague
卡尔克萨	Carcosa
卡尔克萨大宅	Carcosa House
钦博特	Chimbote
丘楚曹	Cho Chu-tsao
克拉泽因镇	Chorazin
可卡洛卡	Coca Loca
康莫尼亚	Commoriom
北落师门	Fomalhaut
#
# ===== 仪式与法术 =====
召唤外来之物	Call Forth Those From Outside
大衮的呼唤	The Call Of Dagon
召来僵尸	Call Zombies
召唤咒	calling formulae
山羊招来	The Calling of the Goat
警示空之主	Alert the Hosts of the Airs
取悦万物归一者	Benefit the All-In-One
藏骸所之冥想	Charnel Meditation
千里眼	Clairvoyance
封锁入侵	The Closing of the Breach
神力灵光	Aura of Power
精神链接	Communion
#
# ===== 书籍与文物 =====
阿-亚比希巨石	a-Abhi Block
阿尔·阿吉夫	Al Azif
阿撒托斯及其他恐怖之物	Azathoth and Other Horrors
黑书	Black Book
博尔吉亚法典	Codex Borgia
大衮之书	The Book of Dagon
器件	artifact
生物标记物A	Biomaker A
#
# ===== 行动代号 =====
冰宫行动	Aktion EISSCHLOSS
诸神黄昏行动	Aktion GÖTERDÄMERUNG
"蓝血"	BLUEBLOOD
#
# ===== 游戏术语 =====
协议	Accord
激活代价	activation cost
修士	Adept
特工	Agent
特工们	Agents
探员	agent
不老盛宴	Ageless Banquet
战役	campaign
案件主管	case officer
拟态饕餮宴	Changeling Feast
复杂	complex
复杂度	complexity
苯教	Bön
阅前烧毁	burn before reading
黑徽章	black-badge
"黑徽章"布道会	"black badge" sermon
"锅盖"	the Bucket
"船屋"	Bootshaus
波拉斯号	Boreas
安卡	Angka
#
# ===== 超自然概念 =====
I 类自指性思维超立方	Class I self-referential thought-form tesseracts
丹尼尔·M·弗莱斯案宗	Case File, Freis, Daniel M.
流血背后	Behind the Bloodshed
艾佬札	Ai-Lao-Žar
乔丘亚	Chauchua
乔丘亚-美国倡议联盟	Chauchua-American Advocacy Alliance
喀戎	Charon
黑水营地训练中心	Blackwater Lodge and Training Center, Inc.
扩张意识	Consciousness Expansion
构形	the Construct
时空构型	Construct of spacetime
“食谱”	Cookbook
考特斯论文	The Courtis Paper
牛仔年代	The Cowboy Era
创造石之门	Create Stone Gate
克苏鲁	Cthulhu
大施恩者教团	Cult of the Great Provider
天道密教	Cult of Transcendence
食尸鬼教团	Cultes des Goules
柯蒂斯·克里斯	Curtis Criss
柯蒂斯·麦克雷	Curtis McRay
赛普勒斯安保	Cypress Security
魔神之首	Daemon Sultan
丹娜·谢尔顿	Dana Shelton
丹尼尔·弗莱斯	Daniel Freis
道罗斯	Daoloth
黑色之人	the Dark Man
多斯南简斯博卡	Dauthsnamjansboka
大卫·康纳沃	David Cornwall
大卫·法拉格特·佩顿	David Farragut Payton
蠕虫之秘密	De Vermis Mysteriis
德布拉·康斯坦丝	Debra Constance
深潜者，高等，低等	Deep One, Greater, Lesser
德蒙特部族	DeMonte Clan
丹顿·谢佛	Denton Shaeffer
101 分遣队	Detachment 101
德弗鲁克斯庄园	Devereux Mansion
多罕	Dho-Hna
多罕公式	The Dho-Hna Formula
巨噬蠕虫颂歌	the Dhol chants
数视魔力	Digivideomagic, Inc.
空鬼	Dimensional Shambler
德克·范德赫尔	Dirck van der Heyl
项目总管	the Director
盘形食液动物	Disc-Shaped Liquivore
蠕虫门徒	Disciples of the Worm
解体	Discorporation
驱逐	Dismissal
唐纳德·坡	Donald Poe
“霹雷”	Donnerschlag
道林·格雷协会	Dorian Grey Society
尸鬼	draugr
恐怖真名	Dread Name
槛之尘	Dust of the Thresholds
东方集团	Eastern Bloc
爱德加·凯西	Edgar Cayce
爱德华·皮克曼·德比	Edward Pickman Derby
意识群生命体	egregores
艾霍特	Eihort
极难	elaborate（仪式复杂度）
古灯塔	Elder Pharos
旧印	The Elder Sign
古老者	Elder Thing
伊利亚·沃特雷	Elijah Whateley
无羁之水	Elixir of Infinite Space
埃尔特顿陶片	The Eltdown Shards
埃米尔·弗斯特	Emil Furst
埃米尔·阿格德修	Emir Agdesh
埃米特·科布	Emmett Cobb
全面吞噬	Engulf
安格瓦德·布拉瑟尔	Engvald Brasseur
恩洛斯	Enolsis
埃尔文·佩斯	Erwin Peis
埃斯卡巴柯纳	Escabacogan
大衮密教	the Esoteric Order of Dagon
精盐	essential saltes
尤斯蒂斯·贝尔	Eustis Bell
升华肉体	Exaltation of the Flesh
晋升秘社	Exalted Circle
交换人格	Exchange Personalities
驱魔术	Exorcism
12号设施	Facility-12
迷惑心智	Fascination
命运教团	the Fate
星之饕	Feaster from the Stars
神佑项链	Fetish Necklace
格兰特·爱默生的文件	The Files of Grant Emerson
寻物	Finding
第一秘密	The First Secret
反恐飞行队	Fly Teams
福里斯·詹姆斯	Forrest James
德雷特伯爵弗朗索瓦-奥诺尔·巴尔福	Francois-Honore Balfour, Comte d'Erlette
富兰克林·拉斯科	Franklin Rathke
弗兰克林·巴里斯	Franklyn Barris
弗雷德里克·拉姆齐	Frederick Ramsey
大弗里德里希	Frederick the Great
弗里德里希二世	FRIEDRICH II
弗瑞德里希·威尔赫姆·冯·容兹	Friedrich Wilhelm von Junzt
友方	Friendly
基元掌控	Fundamental Control
加斯帕德·杜诺德	Gaspard du Nord
门技术	Gate technology
盖文·罗斯	Gavin Ross
亚洲的神秘奥迹	Geheimes Mysterium von Asien
玄洋社	Gen'yōsha
格林将军号	General Greene
基因农业产品有限公司	Genetic Agricultural Products, Inc.
乔治·盖茨	George Gates
加塔诺托亚	Ghatanothoa
哥尔·尼格拉尔	Ghorl Nigral
“鬼丘”	Ghost Mound
食尸鬼	Ghoul
格赫罗斯	Ghroth
巨人	giants
吉尔伯特·奥斯汀	Gilbert Austin
吉尔斯·芬顿	Giles Fenton
格拉基之仆	Glaakeen
格拉基	Glaaki/Gla'aki
总参谋部情报总局第八特别分部	Glavnoye Razvedyvatelnoye Upravlenie Spetsialni Viedotstvo 8
格伦里奇脊椎护理师	Glenridge Chiropractor
诺弗刻	Gnophkeh
高茨伍德	Goatswood
金色地精出版社	Golden Goblin
各玛洛卡	Goma Loca
戈特弗里德·缪尔德	Gottfried Mülder
钳制（等同于pin）	grab
格兰特·爱默生	Grant Emerson
重引子	gravitor
巨熊	the Great Bear
大图书馆	the Great Library
伟大种族（锥形躯壳）	The Great Race (Cone-Shaped Vessels)
伟大种族（人类躯壳）	The Great Race (Human Vessels)
伟大种族伊斯	the Great Race of Yith
格雷格·梅森的监控录像	Greg Mason's Surveillance Videos
格雷戈里·塔帕姆	Gregory Tapham
灰人	Grey
灰者	grey men
压力环境下的组群动态	The Group Dynamic in a Stress Environment
格鲁乌 SV-8	GRU SV-8
格鲁登-伊察	Grudèn-Itzà
官	guān
冈特·弗兰克	Gunter Frank
冈特·弗兰克的研究笔记	Gunter Frank's Research Notes
