# KULT TRPG 术语表
执政官或死亡天使	[10] Archon or Death Angel [10]
薄弱无力	[1] Weak [1]
初窥门径	[2] Novice [2]
相当可观	[3] Considerable [3]
势不可挡	[4] Powerful [4]
非同凡响	[5] Exceptional [5]
传奇神话	[6] Legendary [6]
神圣 / 觉醒	[7] Divine/Awakened [7]
陨落的执政官或死亡天使	[8] Fallen Archon or Death Angel [8]
衰弱的执政官或死亡天使	[9] Weakened Archon or Death Angel [9]
梦示未来	A Dream Come True
启动梦门	A Portal is Opened
再生机遇	A Second Chance
奇妙之境	A Wondrous Place
能力	Abilities
学界人脉	Academic Network
访问暗网	Access the Dark Net
暗藏底牌	Ace up the Sleeve
幽影使者	Acrotides
承压行动	Act Under Pressure
主动属性	Active Attributes
对话角色，而非玩家	Address the Characters, Not the Players
阿德勒蒂帕S	Adler Tippa S
特质/正面特质	Advantages
之剑——阿克拉希尔	Akrasiel – the Sword of Hod Hod
亚历山德拉·埃兰特	Alexandra Errante
幻妖	Alucinades
飘羽灵	Amenthills
痛苦侍影	Amentoraz
推察入微	Analyst
天使	Angels
动物交流	Animal Speaker
预示问题	Announce Future Problems
描写场外	Announce Off-Screen Problems
通晓秘典	Arcane Researcher
原型	Archetypes
执政官	Archons
护甲	Armor
通灵魔器	Artifact
艺术天赋	Artistic Talent
提问并深化答案	Ask Questions and Build on the Answers
突击步枪	Assault Rifle
为NPC分配动机	Assign Motivations to All Your NPCs
亚斯塔禄的化身	Astaroth's Incarnates
不惜一切	At any Cost
亚特兰蒂斯之梦	Atlantean Dreams
攻击方式	Attacks
妄引生灵	Attract Beings
梦君注视	Attract Dream Prince's Attention
属性	Attributes
统御气场	Aura of influence
权威人士	Authority
自动手枪 / 左轮手枪	Automatic Pistol/Revolver
规避伤害	Avoid Harm
醒悟者/醒悟者原型	Aware Archetypes
激发敬畏	Awe-Inspiring
视魂黛影	Azadaevae
青眼奴灵	Azghouls
阿什维涅艾则	Ašvieniai
背后捅刀	Backstab
